text,priority
Immediate attention required: lab evaluation deadline is today.,high
Random thought: team meeting looks interesting.,low
Random thought: project report looks interesting.,low
Urgent: please submit the team meeting by tonight.,high
Critical update: new policy must be fixed within the next 2 hours.,high
Critical update: lab evaluation must be fixed within the next 2 hours.,high
FYI: there is a new newsletter about project report.,low
Random thought: system update looks interesting.,low
No rush: check out this article on project report whenever you're free.,low
Please look over the team meeting when you have time.,medium
Random thought: system update looks interesting.,low
ASAP: we need your response regarding course feedback.,high
Critical update: new policy must be fixed within the next 2 hours.,high
Important: please review the system update soon.,medium
ASAP: we need your response regarding project report.,high
Reminder: don't forget to check the assignment submission this week.,medium
Please look over the team meeting when you have time.,medium
Urgent: please submit the new policy by tonight.,high
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Reminder: don't forget to check the team meeting this week.,medium
Random thought: team meeting looks interesting.,low
Immediate attention required: exam schedule deadline is today.,high
FYI: there is a new newsletter about team meeting.,low
Random thought: new policy looks interesting.,low
ASAP: we need your response regarding lab evaluation.,high
"Hey, just sharing some memes about course feedback.",low
Reminder: don't forget to check the course feedback this week.,medium
ASAP: we need your response regarding team meeting.,high
Critical update: team meeting must be fixed within the next 2 hours.,high
Follow-up: we would appreciate your feedback on the course feedback.,medium
Critical update: team meeting must be fixed within the next 2 hours.,high
Reminder: don't forget to check the system update this week.,medium
Please look over the new policy when you have time.,medium
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Follow-up: we would appreciate your feedback on the assignment submission.,medium
Critical update: project report must be fixed within the next 2 hours.,high
"Hey, just sharing some memes about course feedback.",low
Critical update: assignment submission must be fixed within the next 2 hours.,high
Please look over the lab evaluation when you have time.,medium
ASAP: we need your response regarding project report.,high
Random thought: project report looks interesting.,low
Random thought: new policy looks interesting.,low
FYI: there is a new newsletter about project report.,low
No rush: check out this article on course feedback whenever you're free.,low
Immediate attention required: system update deadline is today.,high
Please look over the system update when you have time.,medium
Reminder: don't forget to check the project report this week.,medium
Important: please review the course feedback soon.,medium
Follow-up: we would appreciate your feedback on the assignment submission.,medium
Urgent: please submit the system update by tonight.,high
Please look over the exam schedule when you have time.,medium
